Nazwa naukowa;Nazwa polska;Gromada;Rząd;Podrząd;Rodzina
Psalmopoeus emeraldus;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Psalmopoeus irminia;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Psalmopoeus langenbucheri;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Psalmopoeus plantaris;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Psalmopoeus pulcher;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Psalmopoeus reduncus;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Psalmopoeus victori;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Pseudhapalopus sp. Blue;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Pseudoclamoris elenae;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Pseudoclamoris gigas;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Pterinochilus chordatus;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Pterinochilus lugardi;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Pterinochilus murinus;Ptasznik afrykański brąz;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Pterinochilus vorax;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Selenocosmia crassipes;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Sericopelma angustum;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Sericopelma rubronitens;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Stromatopelma calceatum;Ptasznik zachodnioaprykański;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Taksinus bambus;Ptasznik bambusowy;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Tapinauchenius cupreus;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Tapinauchenius plumipes;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Tapinauchenius rasti;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Tapinauchenius sanctivincenti;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Theraphosa apophysis;Ptasznik goliat różowopalcy;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Theraphosa blondi;Ptasznik goliat;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Theraphosa stirmi;Ptasznik goliat burgundowy;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Thrixopelma ockerti;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Thrixopelma pruriens;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Tliltocatl albopilosus;Ptasznik kędzierzawy;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Tliltocatl epicureanus;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Tliltocatl kahlenbergi;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Tliltocatl sabulosus;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Tliltocatl schroederi;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Tliltocatl vagans;Ptasznik meksykański czarny;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Tliltocatl verdezi;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Typhochlaena amma;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Typhochlaena costae;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Typhochlaena curumim;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Typhochlaena paschoali;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Typhochlaena seladonia;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Vitalius chromatus;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Vitalius dubius;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Vitalius paranaensis;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Xenesthis immanis;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Xenesthis intermedia;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Xenesthis monstrosa;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Xenesthis sp. Blue;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Xenesthis sp. White;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Ybyrapora diversipes;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Ybyrapora sooretama;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Phidippus regius;Skakunek królewski;Pajęczaki (Arachnida);Pająki (Araneae);Pająki wyższe (Araneomorphae);Skakunowate (Salticidae)
Phidippus otiosus;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki wyższe (Araneomorphae);Skakunowate (Salticidae)
Hyllus diardi;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki wyższe (Araneomorphae);Skakunowate (Salticidae)
Hyllus giganteus;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki wyższe (Araneomorphae);Skakunowate (Salticidae)
Pandinus imperator;Skorpion cesarski;Pajęczaki (Arachnida);Skorpiony (Scorpiones);;Scorpionidae
Heterometrus silenus;;Pajęczaki (Arachnida);Skorpiony (Scorpiones);;Scorpionidae
Heterometrus laoticus;;Pajęczaki (Arachnida);Skorpiony (Scorpiones);;Scorpionidae
Eublepharis macularius;Gekon lamparci;Gady (Reptilia);Łuskonośne (Squamata);Jaszczurki (Sauria);Gekonowate (Eublepharidae)
Hemitheconyx caudicinctus;Gekon afrykański gruboogi;Gady (Reptilia);Łuskonośne (Squamata);Jaszczurki (Sauria);Gekonowate (Eublepharidae)
Correlophus ciliatus;Resakon rzęsisty;Gady (Reptilia);Łuskonośne (Squamata);Jaszczurki (Sauria);Diplodactylidae
Mniarogekko chahoua;Resakon mszysty;Gady (Reptilia);Łuskonośne (Squamata);Jaszczurki (Sauria);Diplodactylidae
Rhacodactylus leachianus;Resakon olbrzymi;Gady (Reptilia);Łuskonośne (Squamata);Jaszczurki (Sauria);Diplodactylidae
Rhacodactylus auriculatus;Resakon uszaty;Gady (Reptilia);Łuskonośne (Squamata);Jaszczurki (Sauria);Diplodactylidae
Pogona vitticeps;Agama brodata;Gady (Reptilia);Łuskonośne (Squamata);Jaszczurki (Sauria);Agamowate (Agamidae)
Physignathus cocincinus;Agama wodna chińska;Gady (Reptilia);Łuskonośne (Squamata);Jaszczurki (Sauria);Agamowate (Agamidae)
Stellagama stellio;Agama skalista;Gady (Reptilia);Łuskonośne (Squamata);Jaszczurki (Sauria);Agamowate (Agamidae)
Chamaeleo calyptratus;Kameleon jemeński;Gady (Reptilia);Łuskonośne (Squamata);Jaszczurki (Sauria);Kameleonowate (Chamaeleonidae)
Furcifer pardalis;Kameleon panterowy;Gady (Reptilia);Łuskonośne (Squamata);Jaszczurki (Sauria);Kameleonowate (Chamaeleonidae)
Varanus exanthematicus;Waran sawannowy;Gady (Reptilia);Łuskonośne (Squamata);Jaszczurki (Sauria);Waranowate (Varanidae)
Varanus acanthurus;Waran kolczastoogonowy;Gady (Reptilia);Łuskonośne (Squamata);Jaszczurki (Sauria);Waranowate (Varanidae)
Pantherophis guttatus;Wąż zbożowy;Gady (Reptilia);Łuskonośne (Squamata);Węże (Serpentes);Połozowate (Colubridae)
Elaphe schrenckii;Połoz amurski;Gady (Reptilia);Łuskonośne (Squamata);Węże (Serpentes);Połozowate (Colubridae)
Lampropeltis triangulum;Królewiec trójbarwny;Gady (Reptilia);Łuskonośne (Squamata);Węże (Serpentes);Połozowate (Colubridae)
Lampropeltis getula;Królewiec pospolity;Gady (Reptilia);Łuskonośne (Squamata);Węże (Serpentes);Połozowate (Colubridae)
Lampropeltis californiae;Królewiec kalifornijski;Gady (Reptilia);Łuskonośne (Squamata);Węże (Serpentes);Połozowate (Colubridae)
Boa constrictor;Boa dusiciel;Gady (Reptilia);Łuskonośne (Squamata);Węże (Serpentes);Dusiciele (Boidae)
Eunectes notaeus;Anakonda żółta;Gady (Reptilia);Łuskonośne (Squamata);Węże (Serpentes);Dusiciele (Boidae)
Python regius;Pyton królewski;Gady (Reptilia);Łuskonośne (Squamata);Węże (Serpentes);Pythonidae
Morelia spilota;Pyton dywanowy;Gady (Reptilia);Łuskonośne (Squamata);Węże (Serpentes);Pythonidae
Malayopython reticulatus;Pyton siatkowy;Gady (Reptilia);Łuskonośne (Squamata);Węże (Serpentes);Pythonidae
Testudo horsfieldii;Żółw stepowy;Gady (Reptilia);Żółwie (Testudines);Żółwie skrytoszyjne (Cryptodira);Żółwie lądowe (Testudinidae)
Testudo hermanni;Żółw Hermanna;Gady (Reptilia);Żółwie (Testudines);Żółwie skrytoszyjne (Cryptodira);Żółwie lądowe (Testudinidae)
Centrochelys sulcata;Żółw ostrogowy;Gady (Reptilia);Żółwie (Testudines);Żółwie skrytoszyjne (Cryptodira);Żółwie lądowe (Testudinidae)
Mauremys reevesii;Żółw Reevesa;Gady (Reptilia);Żółwie (Testudines);Żółwie skrytoszyjne (Cryptodira);Batagurydowate (Geoemydidae)
Mauremys sinensis;Żółw chiński pasiasty;Gady (Reptilia);Żółwie (Testudines);Żółwie skrytoszyjne (Cryptodira);Batagurydowate (Geoemydidae)
Agalychnis callidryas;Rzekotka czerwonooka;Płazy (Amphibia);Płazy bezogonowe (Anura);;Rzekotkowate (Hylidae)
Ranoidea caerulea;Rzekotka australijska;Płazy (Amphibia);Płazy bezogonowe (Anura);;Rzekotkowate (Hylidae)
Dendrobates tinctorius;Drzewołaz tynkarz;Płazy (Amphibia);Płazy bezogonowe (Anura);;Drzewołazowate (Dendrobatidae)
Dendrobates auratus;Drzewołaz złocisty;Płazy (Amphibia);Płazy bezogonowe (Anura);;Drzewołazowate (Dendrobatidae)
Phyllobates terribilis;Drzewołaz straszliwy;Płazy (Amphibia);Płazy bezogonowe (Anura);;Drzewołazowate (Dendrobatidae)
Ceratophrys cranwelli;Żaba Pac-Man Cranwella;Płazy (Amphibia);Płazy bezogonowe (Anura);;Ceratophryidae
Ceratophrys cornuta;Żaba rogata amazońska;Płazy (Amphibia);Płazy bezogonowe (Anura);;Ceratophryidae
Ambystoma mexicanum;Aksolotl;Płazy (Amphibia);Płazy ogoniaste (Caudata);;Ambystomowate (Ambystomatidae)
Ambystoma tigrinum;Ambystoma tygrysia;Płazy (Amphibia);Płazy ogoniaste (Caudata);;Ambystomowate (Ambystomatidae)
Hymenopus coronatus;Modliszka orchidea;Owady (Insecta);Modliszki (Mantodea);;Hymenopodidae
Pseudocreobotra wahlbergii;Modliszka kwiatowa kolczasta;Owady (Insecta);Modliszki (Mantodea);;Hymenopodidae
Sphodromantis lineola;Modliszka afrykańska zielona;Owady (Insecta);Modliszki (Mantodea);;Mantidae
Hierodula membranacea;Modliszka azjatycka olbrzymia;Owady (Insecta);Modliszki (Mantodea);;Mantidae
Medauroidea extradentata;Straszyk wietnamski;Owady (Insecta);Straszyki (Phasmida);;Phasmatidae
Extatosoma tiaratum;Straszyk australijski;Owady (Insecta);Straszyki (Phasmida);;Phasmatidae
Phyllium philippinicum;Liściec filipiński;Owady (Insecta);Straszyki (Phasmida);;Phylliidae
Porcellio laevis;Prosionek gładki;Równonogi (Isopoda);Równonogi (Isopoda);;Porcellionidae
Porcellio scaber;Prosionek szorstki;Równonogi (Isopoda);Równonogi (Isopoda);;Porcellionidae
Armadillidium maculatum;Kulanka cętkowana;Równonogi (Isopoda);Równonogi (Isopoda);;Armadillidiidae
Armadillidium vulgare;Kulanka pospolita;Równonogi (Isopoda);Równonogi (Isopoda);;Armadillidiidae
